Repository,CommitID,Message,Date
Todo-List-manager,fa680b073d2402c1488e9690afc7ebbab2abdaf0,Create requirements.txt,2025-02-07 04:39:52+00:00
Todo-List-manager,beeff5d2f9632439211682356c92f93589fa49f6,add points to readme file,2025-02-07 04:32:49+00:00
Todo-List-manager,43fb03350a0cd5754a1700469a5fd9b10a7c5d60,Update README.md to include date features,2025-02-07 04:31:26+00:00
Todo-List-manager,3a0daad6a2513146d4ab934b47688b341a11e301,adding files to handle date based task management,2025-02-07 04:29:01+00:00
Todo-List-manager,e63303e3f46812e832c89e8586759c2576fe0c27,adding todo manager code with date features,2025-02-07 04:26:50+00:00
Todo-List-manager,9a8460742abfba5efb48a4d51d3756615d7d8e95,adding sample output images,2025-02-07 04:26:21+00:00
Todo-List-manager,73839554d06f2f6fb2f671996b711650b0984173,Create README.md in output folder,2025-02-07 04:25:42+00:00
Todo-List-manager,e4104fac00d471ef599f118da38cc0b8e82712ea,adding existing code files,2025-02-07 04:17:55+00:00
Todo-List-manager,55ad924318f8abf541f9c4b512c9e952cea8cdee,Update README.md,2025-02-07 04:04:01+00:00
Todo-List-manager,9b97a2c8af7585abb4e31dede89e88cb55dc70e9,Initial commit,2025-02-07 03:53:52+00:00
Quarterly-Analysis-of-Sales-in-Top-500-Companies,cdb8f027b472eb78ccffd32e634e6241a9444ce9,adding existing files,2025-02-06 16:57:12+00:00
Quarterly-Analysis-of-Sales-in-Top-500-Companies,f87a1528e38178d26d7cdfab3411b1eeac6266b5,Initial commit,2025-02-06 16:54:53+00:00
Iris-Data-Classification-Analysis-using-SPSS,037635088af5a497557430f248b0d6ce8b46d316,Rename isis_shap_model.ipynb to iris_shap_model.ipynb,2025-02-04 17:17:07+00:00
Iris-Data-Classification-Analysis-using-SPSS,ed4a2dc5e54dec70938dc9066889a8a3a8af2773,add shap model to explain random forest,2025-02-04 16:44:41+00:00
Iris-Data-Classification-Analysis-using-SPSS,e3a551c367fda526f9bd0d3e448491f4cfc7cf2d,Create models folder,2025-02-04 16:43:49+00:00
Sentiment-Analysis-for-Hate-Speech-Detection,b186d294d174c1e37f5a46b13ada456c07979e5e,Update README.md with solution details,2025-01-22 00:59:22+00:00
Sentiment-Analysis-for-Hate-Speech-Detection,a0b481618243694aed4b6c009be2383f73d8351d,adding solution file for practice problem,2025-01-22 00:57:17+00:00
Sentiment-Analysis-for-Hate-Speech-Detection,754e07ba1f5758025baf0813a13bef29614f79d5,adding data .csv files,2025-01-22 00:53:05+00:00
Sentiment-Analysis-for-Hate-Speech-Detection,b238ddee83fd6ce0cfe4a8305cfaf8de19cd6922,Initial commit,2025-01-22 00:52:24+00:00
Weather-Data-Pipeline,d6814c2c1b0a5bc9986851498ce47053fb95f043,Create README.md,2025-01-15 14:13:29+00:00
Diabetes-Prediction,eeb2493ef5341c47b5963e33b96fa5e8cf55fe4c,Update links in README.md,2025-01-14 22:36:31+00:00
Diabetes-Prediction,638f334d66f0f0156ddadfb05c82c39c514d22e6,remove additional files,2025-01-14 22:34:32+00:00
Diabetes-Prediction,3d8e0ee73ccc5df2ebdb72a4f13d0b85ef2df88c,removing additional file diabetes_model.sav,2025-01-14 22:33:51+00:00
